,make,model,year,engine_capacity,power,fuel_type,transmission,drive_mode,price,mileage
0,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
1,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
2,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
3,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
4,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
5,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
6,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
7,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
8,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
9,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
10,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
11,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
12,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
13,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
14,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
15,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
16,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
17,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
18,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
19,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
20,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
21,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
22,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
23,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
24,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
25,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
26,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
27,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
28,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
29,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
30,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
31,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
32,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
33,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
34,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
35,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
36,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
37,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
38,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
39,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
40,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
41,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
42,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
43,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
44,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
45,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
46,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
47,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
48,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
49,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
50,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
51,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
52,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
53,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
54,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
55,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
56,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
57,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
58,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
59,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
60,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
61,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
62,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
63,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
64,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
65,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
66,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
67,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
68,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
69,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
70,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
71,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
72,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
73,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
74,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
75,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
76,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
77,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
78,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
